iter	Passed	Remaining
379	898	1466
380	900	1463
381	902	1459
382	904	1457
383	906	1454
384	908	1451
385	910	1448
386	913	1446
387	914	1443
388	917	1440
389	918	1436
390	920	1434
391	922	1431
392	924	1428
393	926	1425
394	928	1422
395	931	1420
396	933	1417
397	935	1414
398	937	1411
399	939	1408
400	941	1406
401	943	1403
402	945	1400
403	947	1397
404	949	1395
405	951	1392
406	953	1389
407	955	1386
408	957	1383
409	959	1380
410	961	1378
411	963	1375
412	965	1372
413	967	1369
414	969	1367
415	972	1364
416	974	1361
417	976	1359
418	978	1357
419	980	1354
420	982	1351
421	985	1349
422	987	1346
423	989	1343
424	991	1341
425	993	1338
426	995	1335
427	997	1332
428	999	1329
429	1001	1327
430	1003	1324
431	1005	1321
432	1007	1319
433	1009	1316
434	1011	1314
435	1013	1311
436	1015	1308
437	1017	1305
438	1019	1302
439	1021	1300
440	1023	1297
441	1025	1294
442	1027	1291
443	1029	1288
444	1031	1285
445	1032	1283
446	1035	1280
447	1037	1277
448	1039	1275
449	1041	1272
450	1042	1269
451	1044	1266
452	1046	1263
453	1048	1261
454	1050	1258
455	1052	1255
456	1054	1252
457	1056	1249
458	1058	1247
459	1059	1244
460	1061	1241
461	1063	1238
462	1065	1235
463	1067	1233
464	1069	1230
465	1071	1227
466	1073	1225
467	1075	1222
468	1076	1219
469	1078	1216
470	1080	1213
471	1082	1211
472	1084	1208
473	1086	1205
474	1088	1203
475	1090	1200
476	1092	1197
477	1094	1195
478	1096	1192
479	1098	1190
480	1100	1187
481	1102	1184
482	1104	1181
483	1106	1179
484	1108	1176
485	1110	1174
486	1112	1171
487	1114	1169
488	1116	1166
489	1117	1163
490	1119	1160
491	1121	1158
492	1123	1155
493	1125	1152
494	1127	1150
495	1129	1147
496	1131	1145
497	1133	1142
498	1135	1139
499	1137	1137
500	1139	1134
501	1141	1132
502	1142	1129
503	1144	1126
504	1146	1124
505	1148	1121
506	1150	1118
507	1152	1116
508	1154	1113
509	1155	1110
510	1157	1107
511	1159	1105
512	1161	1102
513	1163	1100
514	1165	1097
515	1167	1095
516	1169	1092
517	1171	1090
518	1173	1087
519	1175	1085
520	1177	1082
521	1179	1080
522	1181	1077
523	1182	1074
524	1184	1071
525	1186	1069
526	1188	1066
527	1190	1064
528	1192	1061
529	1194	1059
530	1196	1056
531	1198	1054
532	1200	1051
533	1202	1049
534	1204	1046
535	1205	1043
536	1207	1041
537	1209	1038
538	1211	1035
539	1213	1033
540	1215	1030
541	1217	1028
542	1219	1026
543	1221	1023
544	1222	1020
545	1224	1018
546	1226	1015
547	1228	1013
548	1229	1010
549	1231	1007
550	1233	1005
551	1235	1002
552	1237	1000
553	1239	997
554	1241	995
555	1242	992
556	1244	990
557	1246	987
558	1248	985
559	1250	982
560	1252	980
561	1254	977
562	1256	975
563	1258	972
564	1260	970
565	1262	967
566	1264	965
567	1265	962
568	1267	960
569	1269	957
570	1271	955
571	1273	952
572	1274	950
573	1276	947
574	1278	944
575	1280	942
576	1282	940
577	1284	937
578	1286	935
579	1287	932
580	1289	930
581	1291	927
582	1293	925
583	1295	922
584	1297	920
585	1299	918
586	1301	915
587	1303	913
588	1305	910
589	1307	908
590	1308	905
591	1310	903
592	1312	900
593	1314	898
594	1316	896
595	1318	893
596	1320	891
597	1322	888
598	1323	886
599	1325	883
600	1327	881
601	1329	879
602	1331	876
603	1333	874
604	1335	871
605	1337	869
606	1339	867
607	1341	864
608	1343	862
609	1345	860
610	1347	857
611	1349	855
612	1351	853
613	1353	850
614	1355	848
615	1356	845
616	1358	843
617	1360	841
618	1362	838
619	1364	836
620	1366	833
621	1368	831
622	1370	829
623	1372	827
624	1374	824
625	1376	822
626	1378	820
627	1380	817
628	1382	815
629	1384	813
630	1386	810
631	1388	808
632	1390	806
633	1392	803
634	1394	801
635	1396	799
636	1398	796
637	1400	794
638	1401	792
639	1403	789
640	1405	787
641	1407	785
642	1409	782
643	1411	780
644	1413	777
645	1415	775
646	1417	773
647	1419	771
648	1421	768
649	1423	766
650	1425	764
651	1427	761
652	1429	759
653	1431	757
654	1433	755
655	1435	752
656	1437	750
657	1440	748
658	1442	746
659	1444	744
660	1446	741
661	1449	739
662	1450	737
663	1452	734
664	1454	732
665	1456	730
666	1458	728
667	1461	726
668	1462	723
669	1464	721
670	1466	719
671	1468	716
672	1470	714
673	1473	712
674	1475	710
675	1477	708
676	1479	705
677	1482	703
678	1484	701
679	1486	699
680	1488	697
681	1491	695
682	1493	693
683	1495	690
684	1497	688
685	1499	686
686	1501	684
687	1503	681
688	1505	679
689	1508	677
690	1510	675
691	1512	673
692	1514	670
693	1516	668
694	1518	666
695	1521	664
696	1523	662
697	1525	659
698	1527	657
699	1529	655
700	1531	653
701	1533	651
702	1536	649
703	1539	647
704	1541	644
705	1543	642
706	1545	640
707	1547	638
708	1549	635
709	1551	633
710	1553	631
711	1555	629
712	1557	627
713	1559	624
714	1561	622
715	1564	620
716	1566	618
717	1568	616
718	1570	613
719	1572	611
720	1575	609
721	1577	607
722	1579	605
723	1581	602
724	1583	600
725	1585	598
726	1587	596
727	1589	593
728	1591	591
729	1593	589
730	1595	587
731	1597	584
732	1600	582
733	1602	580
734	1604	578
735	1605	576
736	1607	573
737	1609	571
738	1612	569
739	1614	567
740	1616	564
741	1618	562
742	1620	560
743	1622	558
744	1624	555
745	1626	553
746	1627	551
747	1629	549
748	1631	546
749	1633	544
750	1635	542
751	1637	539
752	1639	537
753	1641	535
754	1643	533
755	1645	531
756	1647	528
757	1649	526
758	1651	524
759	1652	521
760	1654	519
761	1656	517
762	1658	515
763	1660	512
764	1662	510
765	1664	508
766	1665	506
767	1667	503
768	1669	501
769	1671	499
770	1673	497
771	1675	494
772	1677	492
773	1679	490
774	1681	488
775	1682	485
776	1684	483
777	1686	481
778	1689	479
779	1690	476
780	1692	474
781	1694	472
782	1696	470
783	1698	468
784	1700	465
785	1702	463
786	1704	461
787	1706	459
788	1708	456
789	1710	454
790	1712	452
791	1714	450
792	1716	447
793	1717	445
794	1719	443
795	1721	441
796	1723	438
797	1725	436
798	1727	434
799	1729	432
800	1730	430
801	1732	427
802	1734	425
803	1736	423
804	1738	421
805	1740	418
806	1742	416
807	1744	414
808	1746	412
809	1748	410
810	1750	407
811	1752	405
812	1754	403
813	1756	401
814	1758	399
815	1760	396
816	1762	394
817	1763	392
818	1765	390
819	1767	388
820	1769	385
821	1771	383
822	1773	381
823	1775	379
824	1777	376
825	1779	374
826	1781	372
827	1783	370
828	1785	368
829	1787	366
830	1789	363
831	1791	361
832	1793	359
833	1795	357
834	1797	355
835	1799	352
836	1801	350
837	1803	348
838	1805	346
839	1807	344
840	1809	342
841	1811	339
842	1813	337
843	1815	335
844	1817	333
845	1819	331
846	1821	328
847	1823	326
848	1825	324
849	1827	322
850	1829	320
851	1831	318
852	1833	315
853	1834	313
854	1836	311
855	1838	309
856	1840	307
857	1842	304
858	1844	302
859	1846	300
860	1848	298
861	1850	296
862	1852	294
863	1854	291
864	1856	289
865	1858	287
866	1860	285
867	1862	283
868	1864	281
869	1866	278
870	1867	276
871	1869	274
872	1871	272
873	1873	270
874	1875	267
875	1877	265
876	1879	263
877	1881	261
878	1883	259
879	1885	257
880	1887	254
881	1889	252
882	1891	250
883	1893	248
884	1895	246
885	1897	244
886	1899	241
887	1900	239
888	1902	237
889	1904	235
890	1906	233
891	1908	231
892	1910	228
893	1912	226
894	1914	224
895	1916	222
896	1918	220
897	1920	218
898	1922	216
899	1924	213
900	1926	211
901	1928	209
902	1930	207
903	1933	205
904	1934	203
905	1936	200
906	1938	198
907	1940	196
908	1942	194
909	1944	192
910	1946	190
911	1948	188
912	1950	185
913	1952	183
914	1954	181
915	1956	179
916	1958	177
917	1960	175
918	1962	172
919	1963	170
920	1965	168
921	1967	166
922	1969	164
923	1971	162
924	1973	160
925	1975	157
926	1977	155
927	1979	153
928	1981	151
929	1983	149
930	1986	147
931	1987	145
932	1989	142
933	1991	140
934	1994	138
935	1995	136
936	1997	134
937	1999	132
938	2001	130
939	2003	127
940	2005	125
941	2007	123
942	2009	121
943	2011	119
944	2013	117
945	2015	115
946	2017	112
947	2019	110
948	2021	108
949	2023	106
950	2025	104
951	2027	102
952	2029	100
953	2031	97
954	2033	95
955	2034	93
956	2036	91
957	2038	89
958	2040	87
959	2042	85
960	2044	82
961	2046	80
962	2047	78
963	2049	76
964	2051	74
965	2053	72
966	2055	70
967	2057	68
968	2059	65
969	2061	63
970	2063	61
971	2065	59
972	2067	57
973	2069	55
974	2071	53
975	2073	50
976	2075	48
977	2077	46
978	2079	44
979	2081	42
980	2083	40
981	2085	38
982	2087	36
983	2089	33
984	2091	31
985	2093	29
986	2095	27
987	2097	25
988	2099	23
989	2101	21
990	2102	19
991	2104	16
992	2106	14
993	2108	12
994	2110	10
995	2112	8
996	2114	6
997	2116	4
998	2118	2
999	2119	0
